convo.id,speaker,turn.text
25,THEM," hi there . i'd like a hat and a book , thank you much . "
25, YOU, deal 
25, THEM, gracias ! 
26,YOU, i need both balls and 1 book 
26, THEM, deal . 
26, YOU, okay so i get both balls and 1 book 
27,THEM, i need both balls and 1 book 
27, YOU, deal . 
27, THEM, okay so i get both balls and 1 book 
28,THEM, let's split them in half 
28, YOU," i'd like 2 hats , and 1 ball . "
29,YOU, let's split them in half 
29, THEM," i'd like 2 hats , and 1 ball . "
30,YOU, i need that ball so bad ! what do you want ? 
30, THEM, i mean i'll take the rest 
30, YOU, could i also have one hat maybe ? pretty please ? 
30, THEM," you drive a hard bargain here , ball and a book ? "
30, YOU," if that's the offer , then you just take the book because they have no value for me . "
31,THEM, i need that ball so bad ! what do you want ? 
31, YOU, i mean i'll take the rest 
31, THEM, could i also have one hat maybe ? pretty please ? 
31, YOU," you drive a hard bargain here , ball and a book ? "
31, THEM," if that's the offer , then you just take the book because they have no value for me . "
32,YOU," hello , how about i get the book and the hats and you can have the balls ? "
32, THEM, no i want the hats and a ball 
32, YOU," ok , so the book and 2 balls for me and you get the hats and a ball ? "
32, THEM, yes sounds perfect . deal 
33,THEM," hello , how about i get the book and the hats and you can have the balls ? "
33, YOU, no i want the hats and a ball 
33, THEM," ok , so the book and 2 balls for me and you get the hats and a ball ? "
33, YOU, yes sounds perfect . deal 
34,YOU, i would like the ball and the books 
34, THEM, i will give you both books and a hat 
34, YOU, i can not do that . i do need the ball . 
34, THEM, if you give me both hats and both books i will give you the ball 
34, YOU, you can have both hats . can i have 1 book and the ball ? 
34, THEM, no i need both hats and both books 
34, YOU, okay . deal 
35,THEM, i would like the ball and the books 
35, YOU, i will give you both books and a hat 
35, THEM, i can not do that . i do need the ball . 
35, YOU, if you give me both hats and both books i will give you the ball 
35, THEM, you can have both hats . can i have 1 book and the ball ? 
35, YOU, no i need both hats and both books 
35, THEM, okay . deal 
36,YOU," hi , i would like the ball and 2 hats and you can have the book and 1 hat "
36, THEM, i rather like the ball also . you can have all three hats if i get the ball and book . 
36, YOU," ok , i can do that . "
37,THEM," hi , i would like the ball and 2 hats and you can have the book and 1 hat "
37, YOU, i rather like the ball also . you can have all three hats if i get the ball and book . 
37, THEM," ok , i can do that . "
38,YOU," hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . "
38, THEM, could i have the ball and 1 hat ? 
38, YOU," yeah i can do that , where i get 2 hats and the books as well "
38, THEM, yes . deal ? 
38, YOU, deal 
39,THEM," hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . "
39, YOU, could i have the ball and 1 hat ? 
39, THEM," yeah i can do that , where i get 2 hats and the books as well "
39, YOU, yes . deal ? 
39, THEM, deal 
40,YOU," i'll take the book and hat , you can have the balls "
40, THEM, i really need that hat and two balls 
40, YOU," i'll take the book , you can have the rest "
40, THEM, deal 
41,THEM," i'll take the book and hat , you can have the balls "
41, YOU, i really need that hat and two balls 
41, THEM," i'll take the book , you can have the rest "
41, YOU, deal 
42,YOU, i would like 1 of each 
42, THEM, i can't do that . i'll take the ball 2 books 
42, YOU, i'll take ball and 1 hat 
42, THEM, no sorry . how about i take the ball and you get the rest ? 
42, YOU, ok 
43,THEM, i would like 1 of each 
43, YOU, i can't do that . i'll take the ball 2 books 
43, THEM, i'll take ball and 1 hat 
43, YOU, no sorry . how about i take the ball and you get the rest ? 
43, THEM, ok 
44,YOU, i would like the ball and the books 
44, THEM, you can have the books but i would like the ball . 
44, YOU, thats not going to work for me unfortunately . i need the ball and at least 1 book minimum 
44, THEM," hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? "
44, YOU, yes please . thank you 
44, THEM," okay , it's a deal . "
45,THEM, i would like the ball and the books 
45, YOU, you can have the books but i would like the ball . 
45, THEM, thats not going to work for me unfortunately . i need the ball and at least 1 book minimum 
45, YOU," hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? "
45, THEM, yes please . thank you 
45, YOU," okay , it's a deal . "
46,YOU," i'd like the basketball and the hat , you can keep all 4 books ? "
46, THEM, deal . 
47,THEM," i'd like the basketball and the hat , you can keep all 4 books ? "
47, YOU, deal . 
48,THEM, what would you like 
48, YOU, i need the hats you can have everything else 
48, THEM, you take all balls and i keep everything 
48, YOU, no deal . i need the hats or no deal . 
48, THEM, no deal 
48, YOU, no deal . 
48, THEM, no deal 
48, YOU, no deal . 
48, THEM, no 
48, YOU, no deal . 
49,YOU, what would you like 
49, THEM, i need the hats you can have everything else 
49, YOU, you take all balls and i keep everything 
49, THEM, no deal . i need the hats or no deal . 
49, YOU, no deal 
49, THEM, no deal . 
49, YOU, no deal 
49, THEM, no deal . 
49, YOU, no 
49, THEM, no deal . 
50,YOU, balls and hats for me 
50, THEM, can i have one ball and the book ? 
50, YOU, yes deal 
51,THEM, balls and hats for me 
51, YOU, can i have one ball and the book ? 
51, THEM, yes deal 
52,YOU, i'm interested in the book and both balls in exchange for the hats . 
52, THEM, definitely not both balls . we could split them ? 
52, YOU," i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "
52, THEM, deal ! 
53,THEM, i'm interested in the book and both balls in exchange for the hats . 
53, YOU, definitely not both balls . we could split them ? 
53, THEM," i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "
53, YOU, deal ! 
54,THEM, i want the ball 
54, YOU," ok , i get rest "
54, THEM, deal 
55,YOU, i want the ball 
55, THEM," ok , i get rest "
55, YOU, deal 
56,THEM, i'll take books and hat if you want the balls 
56, YOU, i can give you the hat and one of the books . 
56, THEM, ok 
57,YOU, i'll take books and hat if you want the balls 
57, THEM, i can give you the hat and one of the books . 
57, YOU, ok 
58,YOU, hello 
58, THEM, hi . may i have the books and 1 hat ? 
58, YOU, id rather give the balls than the hat 
58, THEM," if i can have both the books and 1 ball , you can have the rest . "
58, YOU, ill give you 2 balls and 1 book 
58, THEM, deal ! 
59,THEM, hello 
59, YOU, hi . may i have the books and 1 hat ? 
59, THEM, id rather give the balls than the hat 
59, YOU," if i can have both the books and 1 ball , you can have the rest . "
59, THEM, ill give you 2 balls and 1 book 
59, YOU, deal ! 
60,THEM, i need 2 hats and 1 ball . 
60, YOU, ok deal 
61,YOU, i need 2 hats and 1 ball . 
61, THEM, ok deal 
62,THEM, i would like the hat and two balls 
62, YOU," i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "
62, THEM," okay , i'll take the hat , one ball and one book ? "
62, YOU, i'll take two balls and the book . 
63,YOU, i would like the hat and two balls 
63, THEM," i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "
63, YOU," okay , i'll take the hat , one ball and one book ? "
63, THEM, i'll take two balls and the book . 
64,THEM, if i can have the balls and the book you can have the hats 
64, YOU, sounds good 
64, THEM, great ! thank you ! 
64, YOU, thanks 
65,YOU, if i can have the balls and the book you can have the hats 
65, THEM, sounds good 
65, YOU, great ! thank you ! 
65, THEM, thanks 
66,YOU, i'll take one of each if that's ok ? 
66, THEM, i need 2 hats . you can have the rest 
66, YOU, ok 
67,THEM, i'll take one of each if that's ok ? 
67, YOU, i need 2 hats . you can have the rest 
67, THEM, ok 
68,THEM, i want two hats 
68, YOU, i get the books and a ball deal 
68, THEM, deal 
69,YOU, i want two hats 
69, THEM, i get the books and a ball deal 
69, YOU, deal 
70,THEM, i need the hats and the ball 
70, YOU, i can give you one hat and the ball . i want 2 books and 1 hat 
70, THEM, i have to have both hats and the ball or both hats and a book to make a deal 
70, YOU," sorry , i won`t make a deal without a hat "
70, THEM, if you take 1 hat i have to have everything else 
70, YOU, sorry can`t do 
70, THEM, no deal 
70, YOU," yesh no deal , sorry "
70, THEM, no deal 
70, YOU, no deal 
71,YOU, i need the hats and the ball 
71, THEM, i can give you one hat and the ball . i want 2 books and 1 hat 
71, YOU, i have to have both hats and the ball or both hats and a book to make a deal 
71, THEM," sorry , i won`t make a deal without a hat "
71, YOU, if you take 1 hat i have to have everything else 
71, THEM, sorry can`t do 
71, YOU, no deal 
71, THEM," yesh no deal , sorry "
71, YOU, no deal 
71, THEM, no deal 
72,THEM, you can have the balls if i can have the book and hat 
72, YOU, okay 
73,YOU, you can have the balls if i can have the book and hat 
73, THEM, okay 
74,THEM, i'd like the hats and balls . what do you want ? 
74, YOU, you can have the balls and one hat 
74, THEM, okay . 
74, YOU, okay thank you . 
75,YOU, i'd like the hats and balls . what do you want ? 
75, THEM, you can have the balls and one hat 
75, YOU, okay . 
75, THEM, okay thank you . 
76,THEM, i need the balls and the hat 
76, YOU, i need the same . if i can't have the balls i can't make a deal 
76, THEM, you can have the balls if i can have everything else 
76, YOU, okay deal . 
77,YOU, i need the balls and the hat 
77, THEM, i need the same . if i can't have the balls i can't make a deal 
77, YOU, you can have the balls if i can have everything else 
77, THEM, okay deal . 
78,THEM, i'll take the book and two balls you . 
78, YOU," fine , i get both hats "
79,YOU, i'll take the book and two balls you . 
79, THEM," fine , i get both hats "
80,YOU, take all the balls i keep everything else 
80, THEM," nah , hats and a ball for me "
80, YOU," can i keep a hat at least , its cold "
80, THEM," ok , two hats and 2 balls for me "
80, YOU, deal 
81,THEM, take all the balls i keep everything else 
81, YOU," nah , hats and a ball for me "
81, THEM," can i keep a hat at least , its cold "
81, YOU," ok , two hats and 2 balls for me "
81, THEM, deal 
82,THEM, i need the balls and a hat 
82, YOU, how many balls do you need 
82, THEM, both 
82, YOU, could you just take the hat and give me the rest ? 
82, THEM, not possible 
82, YOU, okay ill give you the hat and balls 
82, THEM, great 
83,YOU, i need the balls and a hat 
83, THEM, how many balls do you need 
83, YOU, both 
83, THEM, could you just take the hat and give me the rest ? 
83, YOU, not possible 
83, THEM, okay ill give you the hat and balls 
83, YOU, great 
84,THEM, i'd like the hats and books 
84, YOU," ill give you all books with a hat , i get to keep a hats "
84, THEM," how about this , i get the hats you take everything else . deal ? "
84, YOU, deal 
85,YOU, i'd like the hats and books 
85, THEM," ill give you all books with a hat , i get to keep a hats "
85, YOU," how about this , i get the hats you take everything else . deal ? "
85, THEM, deal 
86,THEM," hi , i would like 2 balls and 1 hat . "
86, YOU, i'd like book and 1 ball or hat ? 
86, THEM," hmm , how about i get the 2 balls and you keep the rest ? "
86, YOU, deal . 
87,YOU," hi , i would like 2 balls and 1 hat . "
87, THEM, i'd like book and 1 ball or hat ? 
87, YOU," hmm , how about i get the 2 balls and you keep the rest ? "
87, THEM, deal . 
88,YOU, i want the balls . i can offer you the rest . 
88, THEM, can i have 1 ball and give you a book for it ? 
88, YOU, 2 balls and a book to me ? if so that works for me . 
89,THEM, i want the balls . i can offer you the rest . 
89, YOU, can i have 1 ball and give you a book for it ? 
89, THEM, 2 balls and a book to me ? if so that works for me . 
90,YOU, i'd like the ball and two hats . 
90, THEM," unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . "
90, YOU, you can have the ball . i'll take the book and we can split the hats . 
90, THEM, deal 
91,THEM, i'd like the ball and two hats . 
91, YOU," unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . "
91, THEM, you can have the ball . i'll take the book and we can split the hats . 
91, YOU, deal 
92,THEM, i will take 1 book and 1 ball 
92, YOU, sounds like a deal ! 
92, THEM, thanks 
93,YOU, i will take 1 book and 1 ball 
93, THEM, sounds like a deal ! 
93, YOU, thanks 
94,YOU, i want the hat and 2 balls 
94, THEM, one ball and one hat for you 
94, YOU, ok deal 
94, THEM, ok 
95,THEM, i want the hat and 2 balls 
95, YOU, one ball and one hat for you 
95, THEM, ok deal 
95, YOU, ok 
96,THEM, what would you like 
96, YOU, the ball and one hat 
96, THEM, fine 
97,YOU, what would you like 
97, THEM, the ball and one hat 
97, YOU, fine 
98,THEM, i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . 
98, YOU, i need both hats and a book if you want all the balls 
98, THEM, oh fine 
98, YOU," so 3 balls for you , the rest to me ? "
98, THEM," yep , deal "
99,YOU, i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . 
99, THEM, i need both hats and a book if you want all the balls 
99, YOU, oh fine 
99, THEM," so 3 balls for you , the rest to me ? "
99, YOU," yep , deal "
100,THEM, what do you want ? 
100, YOU, ideal would be the ball and two hats . 
100, THEM, i'd need the book at 3 hats to be at 6 . that's the best i can do . 
100, YOU," deal , i'll take the ball and one hat . "
101,YOU, what do you want ? 
101, THEM, ideal would be the ball and two hats . 
101, YOU, i'd need the book at 3 hats to be at 6 . that's the best i can do . 
101, THEM," deal , i'll take the ball and one hat . "
102,YOU, the book and hat for me 
102, THEM, hat and two balls for me 
102, YOU, deal 
103,THEM, the book and hat for me 
103, YOU, hat and two balls for me 
103, THEM, deal 
104,THEM, i'd like the ball and one hat 
104, YOU," it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . "
104, THEM," find , , ill just get the ball . i don't need the books "
104, YOU," okay , deal . "
105,YOU, i'd like the ball and one hat 
105, THEM," it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . "
105, YOU," find , , ill just get the ball . i don't need the books "
105, THEM," okay , deal . "
106,THEM, i do a lot of reading outside and could really use a book and a hat . 
106, YOU," that works , i could definitely put a hat and the basketballs to use . "
106, THEM, basketballs with hats on them are so cute . thanks 
107,YOU, i do a lot of reading outside and could really use a book and a hat . 
107, THEM," that works , i could definitely put a hat and the basketballs to use . "
107, YOU, basketballs with hats on them are so cute . thanks 
108,YOU," i'd like to have 2 balls , please . you can have the rest "
108, THEM, that sounds ok 
109,THEM," i'd like to have 2 balls , please . you can have the rest "
109, YOU, that sounds ok 
110,THEM, i'd like the two hats and the book . 
110, YOU," can i have the the book , one hat and one ball "
110, THEM, you can have the three balls and a hat but i need that book . 
110, YOU," i really need that book too , you take book i take the rest "
110, THEM, deal . i get the book you can have the rest . 
111,YOU, i'd like the two hats and the book . 
111, THEM," can i have the the book , one hat and one ball "
111, YOU, you can have the three balls and a hat but i need that book . 
111, THEM," i really need that book too , you take book i take the rest "
111, YOU, deal . i get the book you can have the rest . 
112,THEM, i would like hat and 2 balls 
112, YOU," i would like the hat , the rest to you "
112, THEM, i accept 
113,YOU, i would like hat and 2 balls 
113, THEM," i would like the hat , the rest to you "
113, YOU, i accept 
114,YOU, i like 1 book 1 hat and 1 ball 
114, THEM, i can offer 2 balls 
114, YOU, i really need that book more then balls 
114, THEM, i can offer the book and 1 ball 
114, YOU," ok , deal "
115,THEM, i like 1 book 1 hat and 1 ball 
115, YOU, i can offer 2 balls 
115, THEM, i really need that book more then balls 
115, YOU, i can offer the book and 1 ball 
115, THEM," ok , deal "
116,THEM, i would like the books and the ball . 
116, YOU, i can give you the books . i need the hat and ball 
116, THEM, are you sure you split with the ball . . 
116, YOU, i need it and the hat 
116, THEM, okay - as long as i get the books thats fine . 
116, YOU, deal 
117,YOU, i would like the books and the ball . 
117, THEM, i can give you the books . i need the hat and ball 
117, YOU, are you sure you split with the ball . . 
117, THEM, i need it and the hat 
117, YOU, okay - as long as i get the books thats fine . 
117, THEM, deal 
118,YOU, you take the hats and i will take the book and the ball 
118, THEM, no deal . i want the book and the hats . 
118, YOU, okay 
119,THEM, you take the hats and i will take the book and the ball 
119, YOU, no deal . i want the book and the hats . 
119, THEM, okay 
120,THEM, what do you need ? 
120, YOU, i need the hat and ball you can have all the books 
120, THEM," that's not gonna work for me . i've got some flexibility , but not that . what else can you do ? "
120, YOU, why don't you make me an offer 
120, THEM, all books and the hat ? 
120, YOU," not gonna happen , i have no wiggle room i need the hat and the ball "
120, THEM, well then why would i make you an offer ? that's the same thing you said before ! 
120, YOU, that is my only offer 
120, THEM, then no . 
120, YOU, no deal 
121,YOU, what do you need ? 
121, THEM, i need the hat and ball you can have all the books 
121, YOU," that's not gonna work for me . i've got some flexibility , but not that . what else can you do ? "
121, THEM, why don't you make me an offer 
121, YOU, all books and the hat ? 
121, THEM," not gonna happen , i have no wiggle room i need the hat and the ball "
121, YOU, well then why would i make you an offer ? that's the same thing you said before ! 
121, THEM, that is my only offer 
121, YOU, then no . 
121, THEM, no deal 
122,YOU, i would all the books and one ball and one hat 
122, THEM, you can take all the books but i would like 2 balls at least and one hat 
122, YOU, ok i will take the 3 books and one hat 
122, THEM, cool done deal ! 
123,THEM, i would all the books and one ball and one hat 
123, YOU, you can take all the books but i would like 2 balls at least and one hat 
123, THEM, ok i will take the 3 books and one hat 
123, YOU, cool done deal ! 
124,THEM, can i have balls ? you can have the rest . 
124, YOU, i need the balls as well . can we split the difference ? 
124, THEM," ok . can i have 1 ball , 1 hat , and 1 book ? "
124, YOU, i would need the ball and two hats in order to make it work and that is giving me a very low score 
124, THEM, ok . i can take 1 ball and the book . 
124, YOU, okay thank you ! 
125,YOU, can i have balls ? you can have the rest . 
125, THEM, i need the balls as well . can we split the difference ? 
125, YOU," ok . can i have 1 ball , 1 hat , and 1 book ? "
125, THEM, i would need the ball and two hats in order to make it work and that is giving me a very low score 
125, YOU, ok . i can take 1 ball and the book . 
125, THEM, okay thank you ! 
126,YOU," hi , can i have all the balls ? "
126, THEM," sure , deal "
127,THEM," hi , can i have all the balls ? "
127, YOU," sure , deal "
128,THEM, if i can get the books you can have the rest 
128, YOU, deal ! 
129,YOU, if i can get the books you can have the rest 
129, THEM, deal ! 
130,YOU," if i can have the book , you can have the rest "
130, THEM, okay that works ! thank you ! 
131,THEM," if i can have the book , you can have the rest "
131, YOU, okay that works ! thank you ! 
132,THEM, i would like all the balls and the hat . 
132, YOU, can i have the book and the hat ? 
132, THEM, deal . 
133,YOU, i would like all the balls and the hat . 
133, THEM, can i have the book and the hat ? 
133, YOU, deal . 
134,YOU, hi i would like the ball and hats and you can have the books 
134, THEM, give me atleast 2 hats then works for me otherwise i don't get anything cause i need the ball too 
134, YOU, sorry that wont work for me . no deal 
135,YOU, i need the books and the hat 
135, THEM, eh everything really low for me i can give you the books 
135, YOU, i need the books and 1 ball 
135, THEM," that leave me with only few points , i really cant afford give up the balls or hat at all "
135, YOU," i will take the books , you take the rest "
136,THEM, i need the books and the hat 
136, YOU, eh everything really low for me i can give you the books 
136, THEM, i need the books and 1 ball 
136, YOU," that leave me with only few points , i really cant afford give up the balls or hat at all "
136, THEM," i will take the books , you take the rest "
137,YOU," hi , i need the ball . "
137, THEM, ok just the ball then 
137, YOU," yes , just the ball is enough for me . "
137, THEM, ok 
138,THEM," hi , i need the ball . "
138, YOU, ok just the ball then 
138, THEM," yes , just the ball is enough for me . "
138, YOU, ok 
139,THEM," can i have the book and hat , you keep the balls ? "
139, YOU, that doesnt work for me 
139, THEM," hmm , need the book ; what's your offer ? "
139, YOU, i get the rest 
140,YOU," can i have the book and hat , you keep the balls ? "
140, THEM, that doesnt work for me 
140, YOU," hmm , need the book ; what's your offer ? "
140, THEM, i get the rest 
141,THEM, i'd like balls . you can have rest . 
141, YOU, sure 
142,YOU, i'd like balls . you can have rest . 
142, THEM, sure 
143,YOU, i would like the book and the hat . 
143, THEM, i'd like the book and a ball 
143, YOU," sorry , i need the book . "
143, THEM, same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ? 
143, YOU, positive . i can take the book and give you the rest even . that's the only option i have . 
143, THEM, honestly that's the only option i have as well . no deal . 
143, YOU, no problem . no deal then . 
143, THEM, i think we have to wait a moment for it to let us select no deal 
143, YOU, i think if we send a certain amount of messages it'll pop up . no deal . 
143, THEM," agreed , no deal "
144,THEM, i would like the book and the hat . 
144, YOU, i'd like the book and a ball 
144, THEM," sorry , i need the book . "
144, YOU, same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ? 
144, THEM, positive . i can take the book and give you the rest even . that's the only option i have . 
144, YOU, honestly that's the only option i have as well . no deal . 
144, THEM, no problem . no deal then . 
144, YOU, i think we have to wait a moment for it to let us select no deal 
144, THEM, i think if we send a certain amount of messages it'll pop up . no deal . 
144, YOU," agreed , no deal "
145,YOU, i want the books and one ball 
145, THEM, i need the hat and at least one book 
145, YOU," ok , deal "
146,THEM, i want the books and one ball 
146, YOU, i need the hat and at least one book 
146, THEM," ok , deal "
147,YOU, i would like just 2 books and 1 hat 
147, THEM, and i can have 1 hat and 3 balls ? 
147, YOU, actually i would like 2 books and 2 hats ? 
147, THEM," no sorry , i dont mind the books but i need 1 hat "
147, YOU, ok ill keep 2 books and 1 hat u have the rest 
147, THEM, thanks 
148,THEM, i would like just 2 books and 1 hat 
148, YOU, and i can have 1 hat and 3 balls ? 
148, THEM, actually i would like 2 books and 2 hats ? 
148, YOU," no sorry , i dont mind the books but i need 1 hat "
148, THEM, ok ill keep 2 books and 1 hat u have the rest 
148, YOU, thanks 
149,YOU, which items do you want ? 
149, THEM, the balls and a book 
149, YOU, how about you take two balls and one book and i'll take one ball one hat and one book ? 
149, THEM, deal 
150,THEM, which items do you want ? 
150, YOU, the balls and a book 
150, THEM, how about you take two balls and one book and i'll take one ball one hat and one book ? 
150, YOU, deal 
151,YOU," how about you take the books , i take the rest "
151, THEM," not going to work , i need atlest one hat and the ball "
151, YOU, i need the ball and you can have the rest 
151, THEM, i'll take that deal 
152,THEM," how about you take the books , i take the rest "
152, YOU," not going to work , i need atlest one hat and the ball "
152, THEM, i need the ball and you can have the rest 
152, YOU, i'll take that deal 
153,YOU, i need the book and the hat you can have the rest 
153, THEM, i cannot give up the hat and the book 
153, YOU, then i need the book and 3 balls 
153, THEM, you can have the book and two balls 
153, YOU, deal 
154,THEM, i need the book and the hat you can have the rest 
154, YOU, i cannot give up the hat and the book 
154, THEM, then i need the book and 3 balls 
154, YOU, you can have the book and two balls 
154, THEM, deal 
155,THEM, give me your books and ill give you hats and ball 
155, YOU, deal . 
156,YOU, give me your books and ill give you hats and ball 
156, THEM, deal . 
157,YOU, book and two balls for me 
157, THEM," how about book and 1 ball , i get the rest "
157, YOU, ok deal 
158,THEM, book and two balls for me 
