item1,item2,item3,value1,value2,value3,part_item1,part_item2,part_item3,part_value1,part_value2,part_value3,reward,agreement,text,convo.id
1,5,3,1,2,1,1,0,3,0,2,5,8,agree,"THEM: hi , i would like 2 balls and 1 hat . <eos> YOU: i'd like book and 1 ball or hat ? <eos> THEM: hmm , how about i get the 2 balls and you keep the rest ? <eos> YOU: deal . <eos> THEM: <selection>",86
1,0,3,0,2,5,1,5,3,1,2,1,10,agree,"YOU: hi , i would like 2 balls and 1 hat . <eos> THEM: i'd like book and 1 ball or hat ? <eos> YOU: hmm , how about i get the 2 balls and you keep the rest ? <eos> THEM: deal . <eos> YOU: <selection>",87
1,2,1,2,3,2,1,0,1,7,3,1,6,agree,YOU: i want the balls . i can offer you the rest . <eos> THEM: can i have 1 ball and give you a book for it ? <eos> YOU: 2 balls and a book to me ? if so that works for me . <eos> THEM: <selection>,88
1,0,1,7,3,1,1,2,1,2,3,2,8,agree,THEM: i want the balls . i can offer you the rest . <eos> YOU: can i have 1 ball and give you a book for it ? <eos> THEM: 2 balls and a book to me ? if so that works for me . <eos> YOU: <selection>,89
1,3,4,1,1,3,1,1,4,1,1,5,5,agree,"YOU: i'd like the ball and two hats . <eos> THEM: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . <eos> YOU: you can have the ball . i'll take the book and we can split the hats . <eos> THEM: deal <eos> YOU: <selection>",90
1,1,4,1,1,5,1,3,4,1,1,3,7,agree,"THEM: i'd like the ball and two hats . <eos> YOU: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . <eos> THEM: you can have the ball . i'll take the book and we can split the hats . <eos> YOU: deal <eos> THEM: <selection>",91
1,0,3,3,1,1,1,4,3,0,1,6,9,agree,THEM: i will take 1 book and 1 ball <eos> YOU: sounds like a deal ! <eos> THEM: thanks <eos> YOU: <selection>,92
1,4,3,0,1,6,1,0,3,3,1,1,10,agree,YOU: i will take 1 book and 1 ball <eos> THEM: sounds like a deal ! <eos> YOU: thanks <eos> THEM: <selection>,93
1,0,1,7,3,1,1,3,1,1,3,2,8,agree,YOU: i want the hat and 2 balls <eos> THEM: one ball and one hat for you <eos> YOU: ok deal <eos> THEM: ok <eos> YOU: <selection>,94
1,3,1,1,3,2,1,0,1,7,3,1,7,agree,THEM: i want the hat and 2 balls <eos> YOU: one ball and one hat for you <eos> THEM: ok deal <eos> YOU: ok <eos> THEM: <selection>,95
2,0,2,3,1,4,2,3,2,2,1,0,7,agree,THEM: what would you like <eos> YOU: the ball and one hat <eos> THEM: fine <eos> YOU: <selection>,96
2,3,2,2,1,0,2,0,2,3,1,4,8,agree,YOU: what would you like <eos> THEM: the ball and one hat <eos> YOU: fine <eos> THEM: <selection>,97
1,3,2,2,3,1,1,0,2,2,3,2,7,agree,"THEM: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . <eos> YOU: i need both hats and a book if you want all the balls <eos> THEM: oh fine <eos> YOU: so 3 balls for you , the rest to me ? <eos> THEM: yep , deal <eos> YOU: <selection>",98
1,0,2,2,3,2,1,3,2,2,3,1,6,agree,"YOU: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . <eos> THEM: i need both hats and a book if you want all the balls <eos> YOU: oh fine <eos> THEM: so 3 balls for you , the rest to me ? <eos> YOU: yep , deal <eos> THEM: <selection>",99
1,0,4,1,1,6,1,3,4,1,1,3,7,agree,"THEM: what do you want ? <eos> YOU: ideal would be the ball and two hats . <eos> THEM: i'd need the book at 3 hats to be at 6 . that's the best i can do . <eos> YOU: deal , i'll take the ball and one hat . <eos> THEM: <selection>",100
1,3,4,1,1,3,1,0,4,1,1,6,6,agree,"YOU: what do you want ? <eos> THEM: ideal would be the ball and two hats . <eos> YOU: i'd need the book at 3 hats to be at 6 . that's the best i can do . <eos> THEM: deal , i'll take the ball and one hat . <eos> YOU: <selection>",101
1,5,1,2,3,1,1,3,1,4,3,1,6,agree,YOU: the book and hat for me <eos> THEM: hat and two balls for me <eos> YOU: deal <eos> THEM: <selection>,102
1,3,1,4,3,1,1,5,1,2,3,1,6,agree,THEM: the book and hat for me <eos> YOU: hat and two balls for me <eos> THEM: deal <eos> YOU: <selection>,103
2,1,3,2,1,2,2,0,3,1,1,7,8,agree,"THEM: i'd like the ball and one hat <eos> YOU: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . <eos> THEM: find , , ill just get the ball . i don't need the books <eos> YOU: okay , deal . <eos> THEM: <selection>",104
2,0,3,1,1,7,2,1,3,2,1,2,7,agree,"YOU: i'd like the ball and one hat <eos> THEM: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . <eos> YOU: find , , ill just get the ball . i don't need the books <eos> THEM: okay , deal . <eos> YOU: <selection>",105
