id,group,turn,youthem,text
11,6,6,0, THEM: okay sounds good 
11,6,7,1, YOU: alright 
11,6,8,0, THEM: okay 
11,6,9,1, YOU: alright no deal 
11,6,10,0, THEM: okay its no deal 
12,6,1,0,THEM: hello . i would like the book and one ball . 
12,6,2,1, YOU: you can have one ball 1 hat 
12,6,3,0, THEM: i need the book or it's no deal . 
12,6,4,1, YOU: no deal i am keeping the book 
12,6,5,0, THEM: ok no deal 
12,6,6,1, YOU: okay sounds good 
12,6,7,0, THEM: alright 
12,6,8,1, YOU: okay 
12,6,9,0, THEM: alright no deal 
12,6,10,1, YOU: okay its no deal 
13,7,1,1,YOU: i love basketball and reading 
13,7,2,0, THEM: no . i want the hat and the balls 
13,7,3,1, YOU: both balls ? 
13,7,4,0, THEM: yeah or 1 ball and 1 book 
13,7,5,1, YOU: ok i want the hat and you can have the rest 
13,7,6,0, THEM: okay deal ill take the books and the balls you can have only the hat 
13,7,7,1, YOU: ok 
14,7,1,0,THEM: i love basketball and reading 
14,7,2,1, YOU: no . i want the hat and the balls 
14,7,3,0, THEM: both balls ? 
14,7,4,1, YOU: yeah or 1 ball and 1 book 
14,7,5,0, THEM: ok i want the hat and you can have the rest 
14,7,6,1, YOU: okay deal ill take the books and the balls you can have only the hat 
14,7,7,0, THEM: ok 
15,8,1,0,THEM: well now . i see two of everything . how about we split it down the middle ? 
15,8,2,1, YOU: i really just need the 2 books and 1 hat 
15,8,3,0," THEM: hmm . i could give you the two books , but i'd need both hats and both books in exchange . "
15,8,4,1, YOU: you mean both balls ? 
15,8,5,0," THEM: gah , yeah . sorry . "
15,8,6,1, YOU: ok i will take both books and you can have the rest 
15,8,7,0, THEM: deal 
16,8,1,1,YOU: well now . i see two of everything . how about we split it down the middle ? 
16,8,2,0, THEM: i really just need the 2 books and 1 hat 
16,8,3,1," YOU: hmm . i could give you the two books , but i'd need both hats and both books in exchange . "
16,8,4,0, THEM: you mean both balls ? 
16,8,5,1," YOU: gah , yeah . sorry . "
16,8,6,0, THEM: ok i will take both books and you can have the rest 
16,8,7,1, YOU: deal 
17,9,1,0,THEM: i would like the ball and two books 
17,9,2,1, YOU: gimme books and hat 
17,9,3,0, THEM: can i have one book 
17,9,4,1, YOU: yes 
18,9,1,1,YOU: i would like the ball and two books 
18,9,2,0, THEM: gimme books and hat 
18,9,3,1, YOU: can i have one book 
18,9,4,0, THEM: yes 
19,10,1,0,"THEM: hi , i'd like 1 hat and 2 books "
19,10,2,1, YOU: 2 ball 1 book 
20,10,1,1,"YOU: i'll take the hat , you can have the rest . "
20,10,2,0," THEM: i would like the balls , hat and 2 books "
20,10,3,1, YOU: i can give you the hat and the balls if i keep the books . 
20,10,4,0, THEM: sorry that wont work . 
20,10,5,1, YOU: can you either give me the hat or 3 of the books ? 
20,10,6,0, THEM: sorry looks like we wont be making a deal 
20,10,7,1, YOU: yeah i have no idea how to do that . 
20,10,8,0, THEM: we keep saying no deal until the no deal button appears 
20,10,9,1," YOU: oh , how about i get 2 books ? "
20,10,10,0, THEM: you get 2 books and i get the rest ? 
20,10,11,1, YOU: yes . 
20,10,12,0, THEM: deal 
21,11,1,0,"THEM: i'll take the hat , you can have the rest . "
21,11,2,1," YOU: i would like the balls , hat and 2 books "
21,11,3,0, THEM: i can give you the hat and the balls if i keep the books . 
21,11,4,1, YOU: sorry that wont work . 
21,11,5,0, THEM: can you either give me the hat or 3 of the books ? 
21,11,6,1, YOU: sorry looks like we wont be making a deal 
21,11,7,0, THEM: yeah i have no idea how to do that . 
21,11,8,1, YOU: we keep saying no deal until the no deal button appears 
21,11,9,0," THEM: oh , how about i get 2 books ? "
21,11,10,1, YOU: you get 2 books and i get the rest ? 
21,11,11,0, THEM: yes . 
21,11,12,1, YOU: deal 
22,11,1,0,THEM: if i can have the hats and the books you can have the ball 
22,11,2,1, YOU: so you want me to only have the ball ? no deal make me a better offer 
22,11,3,0, THEM: i will take the hats and two books and you can have the rest 
22,11,4,1, YOU: no deal ill take the books and the ball you can have the rest 
22,11,5,0, THEM: i can take the hats and one book and you can have the res 
22,11,6,1, YOU: no ill take the books the hats and the balls then 
22,11,7,0, THEM: clearly that isn't an option 
22,11,8,1, YOU: it is an option . 
22,11,9,0, THEM: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything 
22,11,10,1," YOU: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point "
23,12,1,1,YOU: if i can have the hats and the books you can have the ball 
23,12,2,0, THEM: so you want me to only have the ball ? no deal make me a better offer 
23,12,3,1, YOU: i will take the hats and two books and you can have the rest 
23,12,4,0, THEM: no deal ill take the books and the ball you can have the rest 
23,12,5,1, YOU: i can take the hats and one book and you can have the res 
23,12,6,0, THEM: no ill take the books the hats and the balls then 
23,12,7,1, YOU: clearly that isn't an option 
23,12,8,0, THEM: it is an option . 
23,12,9,1, YOU: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything 
23,12,10,0," THEM: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point "
24,12,1,1,"YOU: hi there . i'd like a hat and a book , thank you much . "
24,12,2,0, THEM: deal 
24,12,3,1, YOU: gracias ! 
25,13,1,0,"THEM: hi there . i'd like a hat and a book , thank you much . "
25,13,2,1, YOU: deal 
25,13,3,0, THEM: gracias ! 
26,13,1,1,YOU: i need both balls and 1 book 
26,13,2,0, THEM: deal . 
26,13,3,1, YOU: okay so i get both balls and 1 book 
27,14,1,0,THEM: i need both balls and 1 book 
27,14,2,1, YOU: deal . 
27,14,3,0, THEM: okay so i get both balls and 1 book 
28,14,1,0,THEM: let's split them in half 
28,14,2,1," YOU: i'd like 2 hats , and 1 ball . "
29,15,1,1,YOU: let's split them in half 
29,15,2,0," THEM: i'd like 2 hats , and 1 ball . "
30,15,1,1,YOU: i need that ball so bad ! what do you want ? 
30,15,2,0, THEM: i mean i'll take the rest 
30,15,3,1, YOU: could i also have one hat maybe ? pretty please ? 
30,15,4,0," THEM: you drive a hard bargain here , ball and a book ? "
30,15,5,1," YOU: if that's the offer , then you just take the book because they have no value for me . "
31,16,1,0,THEM: i need that ball so bad ! what do you want ? 
31,16,2,1, YOU: i mean i'll take the rest 
31,16,3,0, THEM: could i also have one hat maybe ? pretty please ? 
31,16,4,1," YOU: you drive a hard bargain here , ball and a book ? "
31,16,5,0," THEM: if that's the offer , then you just take the book because they have no value for me . "
32,16,1,1,"YOU: hello , how about i get the book and the hats and you can have the balls ? "
32,16,2,0, THEM: no i want the hats and a ball 
32,16,3,1," YOU: ok , so the book and 2 balls for me and you get the hats and a ball ? "
32,16,4,0, THEM: yes sounds perfect . deal 
33,17,1,0,"THEM: hello , how about i get the book and the hats and you can have the balls ? "
33,17,2,1, YOU: no i want the hats and a ball 
33,17,3,0," THEM: ok , so the book and 2 balls for me and you get the hats and a ball ? "
33,17,4,1, YOU: yes sounds perfect . deal 
34,17,1,1,YOU: i would like the ball and the books 
34,17,2,0, THEM: i will give you both books and a hat 
34,17,3,1, YOU: i can not do that . i do need the ball . 
34,17,4,0, THEM: if you give me both hats and both books i will give you the ball 
34,17,5,1, YOU: you can have both hats . can i have 1 book and the ball ? 
34,17,6,0, THEM: no i need both hats and both books 
34,17,7,1, YOU: okay . deal 
35,18,1,0,THEM: i would like the ball and the books 
35,18,2,1, YOU: i will give you both books and a hat 
35,18,3,0, THEM: i can not do that . i do need the ball . 
35,18,4,1, YOU: if you give me both hats and both books i will give you the ball 
35,18,5,0, THEM: you can have both hats . can i have 1 book and the ball ? 
35,18,6,1, YOU: no i need both hats and both books 
35,18,7,0, THEM: okay . deal 
36,18,1,1,"YOU: hi , i would like the ball and 2 hats and you can have the book and 1 hat "
36,18,2,0, THEM: i rather like the ball also . you can have all three hats if i get the ball and book . 
36,18,3,1," YOU: ok , i can do that . "
37,19,1,0,"THEM: hi , i would like the ball and 2 hats and you can have the book and 1 hat "
37,19,2,1, YOU: i rather like the ball also . you can have all three hats if i get the ball and book . 
37,19,3,0," THEM: ok , i can do that . "
38,19,1,1,"YOU: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . "
38,19,2,0, THEM: could i have the ball and 1 hat ? 
38,19,3,1," YOU: yeah i can do that , where i get 2 hats and the books as well "
38,19,4,0, THEM: yes . deal ? 
38,19,5,1, YOU: deal 
39,20,1,0,"THEM: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . "
39,20,2,1, YOU: could i have the ball and 1 hat ? 
39,20,3,0," THEM: yeah i can do that , where i get 2 hats and the books as well "
39,20,4,1, YOU: yes . deal ? 
39,20,5,0, THEM: deal 
40,20,1,1,"YOU: i'll take the book and hat , you can have the balls "
40,20,2,0, THEM: i really need that hat and two balls 
40,20,3,1," YOU: i'll take the book , you can have the rest "
40,20,4,0, THEM: deal 
41,21,1,0,"THEM: i'll take the book and hat , you can have the balls "
41,21,2,1, YOU: i really need that hat and two balls 
41,21,3,0," THEM: i'll take the book , you can have the rest "
41,21,4,1, YOU: deal 
42,21,1,1,YOU: i would like 1 of each 
42,21,2,0, THEM: i can't do that . i'll take the ball 2 books 
42,21,3,1, YOU: i'll take ball and 1 hat 
42,21,4,0, THEM: no sorry . how about i take the ball and you get the rest ? 
42,21,5,1, YOU: ok 
43,22,1,0,THEM: i would like 1 of each 
43,22,2,1, YOU: i can't do that . i'll take the ball 2 books 
43,22,3,0, THEM: i'll take ball and 1 hat 
43,22,4,1, YOU: no sorry . how about i take the ball and you get the rest ? 
43,22,5,0, THEM: ok 
44,22,1,1,YOU: i would like the ball and the books 
44,22,2,0, THEM: you can have the books but i would like the ball . 
44,22,3,1, YOU: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum 
44,22,4,0," THEM: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? "
44,22,5,1, YOU: yes please . thank you 
44,22,6,0," THEM: okay , it's a deal . "
45,23,1,0,THEM: i would like the ball and the books 
45,23,2,1, YOU: you can have the books but i would like the ball . 
45,23,3,0, THEM: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum 
45,23,4,1," YOU: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? "
45,23,5,0, THEM: yes please . thank you 
45,23,6,1," YOU: okay , it's a deal . "
46,23,1,1,"YOU: i'd like the basketball and the hat , you can keep all 4 books ? "
46,23,2,0, THEM: deal . 
47,24,1,0,"THEM: i'd like the basketball and the hat , you can keep all 4 books ? "
47,24,2,1, YOU: deal . 
48,24,1,0,THEM: what would you like 
48,24,2,1, YOU: i need the hats you can have everything else 
48,24,3,0, THEM: you take all balls and i keep everything 
48,24,4,1, YOU: no deal . i need the hats or no deal . 
48,24,5,0, THEM: no deal 
48,24,6,1, YOU: no deal . 
48,24,7,0, THEM: no deal 
48,24,8,1, YOU: no deal . 
48,24,9,0, THEM: no 
48,24,10,1, YOU: no deal . 
49,25,1,1,YOU: what would you like 
49,25,2,0, THEM: i need the hats you can have everything else 
49,25,3,1, YOU: you take all balls and i keep everything 
49,25,4,0, THEM: no deal . i need the hats or no deal . 
49,25,5,1, YOU: no deal 
49,25,6,0, THEM: no deal . 
49,25,7,1, YOU: no deal 
49,25,8,0, THEM: no deal . 
49,25,9,1, YOU: no 
49,25,10,0, THEM: no deal . 
50,25,1,1,YOU: balls and hats for me 
50,25,2,0, THEM: can i have one ball and the book ? 
50,25,3,1, YOU: yes deal 
51,26,1,0,THEM: balls and hats for me 
51,26,2,1, YOU: can i have one ball and the book ? 
51,26,3,0, THEM: yes deal 
52,26,1,1,YOU: i'm interested in the book and both balls in exchange for the hats . 
52,26,2,0, THEM: definitely not both balls . we could split them ? 
52,26,3,1," YOU: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "
52,26,4,0, THEM: deal ! 
53,27,1,0,THEM: i'm interested in the book and both balls in exchange for the hats . 
53,27,2,1, YOU: definitely not both balls . we could split them ? 
53,27,3,0," THEM: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . "
53,27,4,1, YOU: deal ! 
54,27,1,0,THEM: i want the ball 
54,27,2,1," YOU: ok , i get rest "
54,27,3,0, THEM: deal 
55,28,1,1,YOU: i want the ball 
55,28,2,0," THEM: ok , i get rest "
55,28,3,1, YOU: deal 
56,28,1,0,THEM: i'll take books and hat if you want the balls 
56,28,2,1, YOU: i can give you the hat and one of the books . 
56,28,3,0, THEM: ok 
57,29,1,1,YOU: i'll take books and hat if you want the balls 
57,29,2,0, THEM: i can give you the hat and one of the books . 
57,29,3,1, YOU: ok 
58,29,1,1,YOU: hello 
58,29,2,0, THEM: hi . may i have the books and 1 hat ? 
58,29,3,1, YOU: id rather give the balls than the hat 
58,29,4,0," THEM: if i can have both the books and 1 ball , you can have the rest . "
58,29,5,1, YOU: ill give you 2 balls and 1 book 
58,29,6,0, THEM: deal ! 
59,30,1,0,THEM: hello 
59,30,2,1, YOU: hi . may i have the books and 1 hat ? 
59,30,3,0, THEM: id rather give the balls than the hat 
59,30,4,1," YOU: if i can have both the books and 1 ball , you can have the rest . "
59,30,5,0, THEM: ill give you 2 balls and 1 book 
59,30,6,1, YOU: deal ! 
60,30,1,0,THEM: i need 2 hats and 1 ball . 
60,30,2,1, YOU: ok deal 
61,31,1,1,YOU: i need 2 hats and 1 ball . 
61,31,2,0, THEM: ok deal 
62,31,1,0,THEM: i would like the hat and two balls 
62,31,2,1," YOU: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "
62,31,3,0," THEM: okay , i'll take the hat , one ball and one book ? "
62,31,4,1, YOU: i'll take two balls and the book . 
63,32,1,1,YOU: i would like the hat and two balls 
63,32,2,0," THEM: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . "
63,32,3,1," YOU: okay , i'll take the hat , one ball and one book ? "
63,32,4,0, THEM: i'll take two balls and the book . 
64,32,1,0,THEM: if i can have the balls and the book you can have the hats 
64,32,2,1, YOU: sounds good 
64,32,3,0, THEM: great ! thank you ! 
64,32,4,1, YOU: thanks 
65,33,1,1,YOU: if i can have the balls and the book you can have the hats 
65,33,2,0, THEM: sounds good 
65,33,3,1, YOU: great ! thank you ! 
65,33,4,0, THEM: thanks 
66,33,1,1,YOU: i'll take one of each if that's ok ? 
66,33,2,0, THEM: i need 2 hats . you can have the rest 
66,33,3,1, YOU: ok 
67,34,1,0,THEM: i'll take one of each if that's ok ? 
67,34,2,1, YOU: i need 2 hats . you can have the rest 
67,34,3,0, THEM: ok 
68,34,1,0,THEM: i want two hats 
68,34,2,1, YOU: i get the books and a ball deal 
68,34,3,0, THEM: deal 
69,35,1,1,YOU: i want two hats 
69,35,2,0, THEM: i get the books and a ball deal 
69,35,3,1, YOU: deal 
70,35,1,0,THEM: i need the hats and the ball 
70,35,2,1, YOU: i can give you one hat and the ball . i want 2 books and 1 hat 
70,35,3,0, THEM: i have to have both hats and the ball or both hats and a book to make a deal 
70,35,4,1," YOU: sorry , i won`t make a deal without a hat "
70,35,5,0, THEM: if you take 1 hat i have to have everything else 
70,35,6,1, YOU: sorry can`t do 
70,35,7,0, THEM: no deal 
70,35,8,1," YOU: yesh no deal , sorry "
70,35,9,0, THEM: no deal 
70,35,10,1, YOU: no deal 
71,36,1,1,YOU: i need the hats and the ball 
71,36,2,0, THEM: i can give you one hat and the ball . i want 2 books and 1 hat 
71,36,3,1, YOU: i have to have both hats and the ball or both hats and a book to make a deal 
71,36,4,0," THEM: sorry , i won`t make a deal without a hat "
71,36,5,1, YOU: if you take 1 hat i have to have everything else 
71,36,6,0, THEM: sorry can`t do 
71,36,7,1, YOU: no deal 
71,36,8,0," THEM: yesh no deal , sorry "
71,36,9,1, YOU: no deal 
71,36,10,0, THEM: no deal 
72,36,1,0,THEM: you can have the balls if i can have the book and hat 
72,36,2,1, YOU: okay 
73,37,1,1,YOU: you can have the balls if i can have the book and hat 
73,37,2,0, THEM: okay 
74,37,1,0,THEM: i'd like the hats and balls . what do you want ? 
74,37,2,1, YOU: you can have the balls and one hat 
74,37,3,0, THEM: okay . 
74,37,4,1, YOU: okay thank you . 
75,38,1,1,YOU: i'd like the hats and balls . what do you want ? 
75,38,2,0, THEM: you can have the balls and one hat 
75,38,3,1, YOU: okay . 
75,38,4,0, THEM: okay thank you . 
76,38,1,0,THEM: i need the balls and the hat 
76,38,2,1, YOU: i need the same . if i can't have the balls i can't make a deal 
76,38,3,0, THEM: you can have the balls if i can have everything else 
76,38,4,1, YOU: okay deal . 
77,39,1,1,YOU: i need the balls and the hat 
77,39,2,0, THEM: i need the same . if i can't have the balls i can't make a deal 
77,39,3,1, YOU: you can have the balls if i can have everything else 
77,39,4,0, THEM: okay deal . 
78,39,1,0,THEM: i'll take the book and two balls you . 
78,39,2,1," YOU: fine , i get both hats "
79,40,1,1,YOU: i'll take the book and two balls you . 
79,40,2,0," THEM: fine , i get both hats "
80,40,1,1,YOU: take all the balls i keep everything else 
80,40,2,0," THEM: nah , hats and a ball for me "
80,40,3,1," YOU: can i keep a hat at least , its cold "
80,40,4,0," THEM: ok , two hats and 2 balls for me "
80,40,5,1, YOU: deal 
81,41,1,0,THEM: take all the balls i keep everything else 
81,41,2,1," YOU: nah , hats and a ball for me "
81,41,3,0," THEM: can i keep a hat at least , its cold "
81,41,4,1," YOU: ok , two hats and 2 balls for me "
81,41,5,0, THEM: deal 
82,41,1,0,THEM: i need the balls and a hat 
82,41,2,1, YOU: how many balls do you need 
82,41,3,0, THEM: both 
82,41,4,1, YOU: could you just take the hat and give me the rest ? 
82,41,5,0, THEM: not possible 
82,41,6,1, YOU: okay ill give you the hat and balls 
82,41,7,0, THEM: great 
83,42,1,1,YOU: i need the balls and a hat 
83,42,2,0, THEM: how many balls do you need 
83,42,3,1, YOU: both 
83,42,4,0, THEM: could you just take the hat and give me the rest ? 
83,42,5,1, YOU: not possible 
83,42,6,0, THEM: okay ill give you the hat and balls 
83,42,7,1, YOU: great 
84,42,1,0,THEM: i'd like the hats and books 
84,42,2,1," YOU: ill give you all books with a hat , i get to keep a hats "
84,42,3,0," THEM: how about this , i get the hats you take everything else . deal ? "
84,42,4,1, YOU: deal 
85,43,1,1,YOU: i'd like the hats and books 
85,43,2,0," THEM: ill give you all books with a hat , i get to keep a hats "
85,43,3,1," YOU: how about this , i get the hats you take everything else . deal ? "
85,43,4,0, THEM: deal 
86,43,1,0,"THEM: hi , i would like 2 balls and 1 hat . "
86,43,2,1, YOU: i'd like book and 1 ball or hat ? 
86,43,3,0," THEM: hmm , how about i get the 2 balls and you keep the rest ? "
86,43,4,1, YOU: deal . 
87,44,1,1,"YOU: hi , i would like 2 balls and 1 hat . "
87,44,2,0, THEM: i'd like book and 1 ball or hat ? 
87,44,3,1," YOU: hmm , how about i get the 2 balls and you keep the rest ? "
87,44,4,0, THEM: deal . 
88,44,1,1,YOU: i want the balls . i can offer you the rest . 
88,44,2,0, THEM: can i have 1 ball and give you a book for it ? 
88,44,3,1, YOU: 2 balls and a book to me ? if so that works for me . 
89,45,1,0,THEM: i want the balls . i can offer you the rest . 
89,45,2,1, YOU: can i have 1 ball and give you a book for it ? 
89,45,3,0, THEM: 2 balls and a book to me ? if so that works for me . 
90,45,1,1,YOU: i'd like the ball and two hats . 
90,45,2,0," THEM: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . "
90,45,3,1, YOU: you can have the ball . i'll take the book and we can split the hats . 
90,45,4,0, THEM: deal 
91,46,1,0,THEM: i'd like the ball and two hats . 
91,46,2,1," YOU: unfortunately the ball is highest value to me . only way i can give the ball up is if you give me everything else . otherwise , i can take the ball and the book and leave you the hats . "
91,46,3,0, THEM: you can have the ball . i'll take the book and we can split the hats . 
91,46,4,1, YOU: deal 
92,46,1,0,THEM: i will take 1 book and 1 ball 
92,46,2,1, YOU: sounds like a deal ! 
92,46,3,0, THEM: thanks 
93,47,1,1,YOU: i will take 1 book and 1 ball 
93,47,2,0, THEM: sounds like a deal ! 
93,47,3,1, YOU: thanks 
94,47,1,1,YOU: i want the hat and 2 balls 
94,47,2,0, THEM: one ball and one hat for you 
94,47,3,1, YOU: ok deal 
94,47,4,0, THEM: ok 
95,48,1,0,THEM: i want the hat and 2 balls 
95,48,2,1, YOU: one ball and one hat for you 
95,48,3,0, THEM: ok deal 
95,48,4,1, YOU: ok 
96,48,1,0,THEM: what would you like 
96,48,2,1, YOU: the ball and one hat 
96,48,3,0, THEM: fine 
97,49,1,1,YOU: what would you like 
97,49,2,0, THEM: the ball and one hat 
97,49,3,1, YOU: fine 
98,49,1,0,THEM: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . 
98,49,2,1, YOU: i need both hats and a book if you want all the balls 
98,49,3,0, THEM: oh fine 
98,49,4,1," YOU: so 3 balls for you , the rest to me ? "
98,49,5,0," THEM: yep , deal "
99,50,1,1,YOU: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . 
99,50,2,0, THEM: i need both hats and a book if you want all the balls 
99,50,3,1, YOU: oh fine 
99,50,4,0," THEM: so 3 balls for you , the rest to me ? "
99,50,5,1," YOU: yep , deal "
100,50,1,0,THEM: what do you want ? 
100,50,2,1, YOU: ideal would be the ball and two hats . 
100,50,3,0, THEM: i'd need the book at 3 hats to be at 6 . that's the best i can do . 
100,50,4,1," YOU: deal , i'll take the ball and one hat . "
101,51,1,1,YOU: what do you want ? 
101,51,2,0, THEM: ideal would be the ball and two hats . 
101,51,3,1, YOU: i'd need the book at 3 hats to be at 6 . that's the best i can do . 
101,51,4,0," THEM: deal , i'll take the ball and one hat . "
102,51,1,1,YOU: the book and hat for me 
102,51,2,0, THEM: hat and two balls for me 
102,51,3,1, YOU: deal 
103,52,1,0,THEM: the book and hat for me 
103,52,2,1, YOU: hat and two balls for me 
103,52,3,0, THEM: deal 
104,52,1,0,THEM: i'd like the ball and one hat 
104,52,2,1," YOU: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . "
104,52,3,0," THEM: find , , ill just get the ball . i don't need the books "
104,52,4,1," YOU: okay , deal . "
105,53,1,1,YOU: i'd like the ball and one hat 
105,53,2,0," THEM: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . "
105,53,3,1," YOU: find , , ill just get the ball . i don't need the books "
105,53,4,0," THEM: okay , deal . "
106,53,1,0,THEM: i do a lot of reading outside and could really use a book and a hat . 
106,53,2,1," YOU: that works , i could definitely put a hat and the basketballs to use . "
106,53,3,0, THEM: basketballs with hats on them are so cute . thanks 
107,54,1,1,YOU: i do a lot of reading outside and could really use a book and a hat . 
107,54,2,0," THEM: that works , i could definitely put a hat and the basketballs to use . "
107,54,3,1, YOU: basketballs with hats on them are so cute . thanks 
108,54,1,1,"YOU: i'd like to have 2 balls , please . you can have the rest "
108,54,2,0, THEM: that sounds ok 
109,55,1,0,"THEM: i'd like to have 2 balls , please . you can have the rest "
109,55,2,1, YOU: that sounds ok 
110,55,1,0,THEM: i'd like the two hats and the book . 
110,55,2,1," YOU: can i have the the book , one hat and one ball "
110,55,3,0, THEM: you can have the three balls and a hat but i need that book . 
110,55,4,1," YOU: i really need that book too , you take book i take the rest "
110,55,5,0, THEM: deal . i get the book you can have the rest . 
111,56,1,1,YOU: i'd like the two hats and the book . 
111,56,2,0," THEM: can i have the the book , one hat and one ball "
111,56,3,1, YOU: you can have the three balls and a hat but i need that book . 
111,56,4,0," THEM: i really need that book too , you take book i take the rest "
111,56,5,1, YOU: deal . i get the book you can have the rest . 
112,56,1,0,THEM: i would like hat and 2 balls 
112,56,2,1," YOU: i would like the hat , the rest to you "
112,56,3,0, THEM: i accept 
113,57,1,1,YOU: i would like hat and 2 balls 
113,57,2,0," THEM: i would like the hat , the rest to you "
113,57,3,1, YOU: i accept 
114,57,1,1,YOU: i like 1 book 1 hat and 1 ball 
114,57,2,0, THEM: i can offer 2 balls 
114,57,3,1, YOU: i really need that book more then balls 
114,57,4,0, THEM: i can offer the book and 1 ball 
114,57,5,1," YOU: ok , deal "
115,58,1,0,THEM: i like 1 book 1 hat and 1 ball 
115,58,2,1, YOU: i can offer 2 balls 
115,58,3,0, THEM: i really need that book more then balls 
115,58,4,1, YOU: i can offer the book and 1 ball 
115,58,5,0," THEM: ok , deal "
116,58,1,0,THEM: i would like the books and the ball . 
116,58,2,1, YOU: i can give you the books . i need the hat and ball 
116,58,3,0, THEM: are you sure you split with the ball . . 
116,58,4,1, YOU: i need it and the hat 
116,58,5,0, THEM: okay - as long as i get the books thats fine . 
116,58,6,1, YOU: deal 
117,59,1,1,YOU: i would like the books and the ball . 
117,59,2,0, THEM: i can give you the books . i need the hat and ball 
117,59,3,1, YOU: are you sure you split with the ball . . 
117,59,4,0, THEM: i need it and the hat 
117,59,5,1, YOU: okay - as long as i get the books thats fine . 
117,59,6,0, THEM: deal 
118,59,1,1,YOU: you take the hats and i will take the book and the ball 
118,59,2,0, THEM: no deal . i want the book and the hats . 
118,59,3,1, YOU: okay 
119,60,1,0,THEM: you take the hats and i will take the book and the ball 
119,60,2,1, YOU: no deal . i want the book and the hats . 
119,60,3,0, THEM: okay 
120,60,1,0,THEM: what do you need ? 
120,60,2,1, YOU: i need the hat and ball you can have all the books 
