id,group,reward,agreement,item1,item2,item3
105,53,7,agree,0,0,1
106,53,8,agree,0,1,3
107,54,7,agree,1,1,0
108,54,8,agree,0,0,2
109,55,8,agree,1,3,0
110,55,3,agree,0,2,3
111,56,8,agree,1,0,0
112,56,7,agree,0,1,0
113,57,8,agree,3,0,2
114,57,7,agree,1,0,1
115,58,8,agree,0,2,1
116,58,7,agree,0,1,1
117,59,9,agree,3,0,0
118,59,9,agree,0,0,1
119,60,8,agree,1,3,0
120,60,no,agreement,agreement,NA,NA
121,61,no,agreement,agreement,NA,NA
122,61,7,agree,3,1,0
123,62,8,agree,0,1,2
124,62,6,agree,0,2,1
125,63,5,agree,1,0,1
126,63,8,agree,0,0,4
127,64,10,agree,1,2,0
128,64,10,agree,0,1,1
129,65,8,agree,4,0,0
130,65,10,agree,1,0,0
131,66,7,agree,0,3,2
132,66,10,agree,1,1,0
133,67,9,agree,0,0,3
134,67,10,disagree,0,3,1
135,68,6,agree,3,0,0
136,68,10,agree,0,1,2
137,69,10,agree,0,0,1
138,69,8,agree,3,1,0
139,70,4,disagree,1,0,3
140,70,8,disagree,1,0,0
141,71,2,agree,3,1,0
142,71,6,agree,0,0,2
143,72,no,agreement,agreement,NA,NA
144,72,no,agreement,agreement,NA,NA
145,73,6,agree,1,0,2
146,73,8,agree,1,1,0
147,74,8,agree,2,1,0
148,74,7,agree,0,1,3
149,75,8,agree,1,1,1
150,75,6,agree,1,0,2
151,76,8,agree,0,0,1
152,76,6,agree,2,2,0
153,77,7,disagree,1,0,2
154,77,5,disagree,1,0,2
155,78,8,disagree,0,2,1
156,78,10,disagree,2,2,1
157,79,10,agree,1,0,1
158,79,7,agree,0,2,3
159,80,7,agree,0,1,2
160,80,6,agree,2,0,1
161,81,no,agreement,agreement,NA,NA
162,81,6,agree,1,1,0
163,82,6,agree,0,3,1
164,82,7,agree,1,0,1
165,83,7,agree,3,1,0
166,83,4,disagree,1,1,0
167,84,no,agreement,agreement,NA,NA
168,84,5,agree,2,1,0
169,85,6,agree,1,0,1
170,85,7,agree,1,3,0
171,86,9,agree,0,0,1
172,86,6,agree,1,0,0
173,87,9,agree,0,1,3
174,87,8,agree,1,0,1
175,88,5,agree,1,2,0
176,88,6,disagree,0,0,3
177,89,6,agree,1,0,1
178,89,8,agree,0,2,1
179,90,10,agree,1,0,1
180,90,6,agree,0,3,0
181,91,6,agree,3,0,0
182,91,7,agree,0,2,1
183,92,6,agree,0,2,2
184,92,6,agree,1,0,0
185,93,10,agree,0,1,4
186,93,7,agree,1,0,0
187,94,6,agree,1,0,1
188,94,6,agree,0,2,2
189,95,5,agree,1,4,0
190,95,9,agree,0,0,1
191,96,10,agree,0,1,1
192,96,6,agree,3,0,0
193,97,10,agree,2,0,0
194,97,8,agree,0,3,2
195,98,no,agreement,agreement,NA,NA
196,98,no,agreement,agreement,NA,NA
197,99,6,agree,0,0,3
198,99,10,agree,2,1,0
199,100,8,disagree,0,0,2
200,100,9,disagree,1,2,0
201,101,6,agree,0,1,2
202,101,6,agree,1,0,1
203,102,8,agree,2,0,1
204,102,6,agree,2,1,0
205,103,no,agreement,agreement,NA,NA
206,103,no,agreement,agreement,NA,NA
207,104,6,agree,1,0,3
208,104,6,agree,0,1,0
209,105,8,agree,3,2,0
210,105,7,agree,0,0,1
211,106,no,agreement,agreement,NA,NA
212,106,no,agreement,agreement,NA,NA
213,107,6,disagree,0,0,1
214,107,no,agreement,agreement,NA,NA
215,108,8,disagree,4,0,0
216,108,8,disagree,0,1,1
217,109,9,agree,3,0,0
218,109,7,agree,0,1,3
219,110,10,disagree,0,1,1
220,110,4,disagree,0,2,2
221,111,10,disagree,0,2,2
222,111,9,agree,0,0,1
223,112,7,agree,1,4,0
224,112,no,agreement,agreement,NA,NA
225,113,no,agreement,agreement,NA,NA
226,113,8,agree,2,3,0
227,114,10,agree,0,0,2
228,114,7,agree,0,1,1
229,115,7,agree,2,0,1
230,115,9,agree,3,0,0
231,116,10,agree,0,1,1
232,116,6,agree,0,3,0
233,117,10,agree,1,0,1
234,117,5,agree,1,1,1
235,118,5,agree,1,0,2
236,118,6,disagree,0,0,3
237,119,10,disagree,1,1,1
238,119,8,agree,2,0,4
239,120,10,agree,0,1,0
240,120,8,agree,2,1,0
241,121,7,agree,0,1,3
242,121,6,agree,1,0,0
243,122,9,agree,0,3,1
244,122,8,agree,0,1,3
245,123,10,agree,2,0,0
246,123,7,agree,1,0,4
247,124,7,agree,0,1,0
248,124,8,disagree,2,0,3
249,125,7,agree,0,2,1
250,125,7,agree,2,0,1
251,126,6,agree,0,2,0
252,126,8,agree,2,0,1
253,127,10,agree,1,3,0
254,127,9,agree,0,0,3
255,128,5,agree,1,0,1
256,128,8,agree,0,1,2
257,129,8,agree,0,3,1
258,129,7,agree,1,1,0
259,130,10,agree,0,1,0
260,130,9,agree,3,0,2
261,131,8,agree,1,1,1
262,131,6,agree,2,0,0
263,132,9,agree,1,1,0
264,132,9,agree,0,1,4
265,133,8,agree,2,0,0
266,133,10,agree,0,3,1
267,134,5,agree,0,1,1
268,134,6,agree,1,1,1
269,135,9,agree,3,0,0
270,135,10,agree,0,1,2
271,136,10,disagree,0,1,1
272,136,2,disagree,2,0,1
273,137,10,agree,1,2,0
274,137,8,agree,0,0,2
275,138,no,agreement,agreement,NA,NA
276,138,no,agreement,agreement,NA,NA
277,139,5,agree,1,2,0
278,139,5,agree,1,0,2
279,140,5,agree,0,1,1
280,140,6,agree,2,1,1
281,141,7,agree,2,0,1
282,141,6,agree,0,3,0
283,142,6,disagree,0,1,1
284,142,no,agreement,agreement,NA,NA
285,143,8,agree,2,1,1
286,143,4,agree,0,2,0
287,144,10,agree,0,0,1
288,144,5,agree,4,1,0
289,145,no,agreement,agreement,NA,NA
290,145,no,agreement,agreement,NA,NA
291,146,4,disagree,1,1,0
292,146,8,disagree,0,1,1
293,147,no,agreement,agreement,NA,NA
294,147,no,agreement,agreement,NA,NA
295,148,no,agreement,agreement,NA,NA
296,148,no,agreement,agreement,NA,NA
297,149,5,agree,1,1,1
298,149,5,agree,1,1,1
299,150,9,agree,0,0,3
300,150,10,agree,1,3,0
301,151,9,agree,1,1,0
302,151,8,agree,1,0,2
303,152,no,agreement,agreement,NA,NA
304,152,no,agreement,agreement,NA,NA
305,153,8,agree,1,0,2
306,153,8,agree,0,2,0
307,154,6,agree,2,1,0
308,154,8,agree,0,0,2
309,155,7,agree,0,0,1
310,155,7,agree,3,1,0
311,156,9,agree,0,3,1
312,156,10,agree,1,0,0
313,157,6,agree,2,1,0
314,157,7,agree,0,2,1
315,158,10,agree,1,3,0
316,158,6,agree,0,0,2
317,159,8,agree,0,2,0
318,159,6,agree,2,0,1
319,160,7,agree,0,1,2
320,160,8,agree,1,0,1
321,161,10,agree,1,0,0
322,161,4,agree,0,2,2
323,162,6,agree,0,0,2
324,162,10,agree,2,2,0
325,163,8,agree,1,0,1
326,163,8,agree,0,2,2
327,164,disconnect,agree,,NA,NA
328,164,disconnect,agree,,NA,NA
329,165,6,agree,1,0,4
330,165,9,agree,1,1,0
331,166,6,agree,1,0,1
332,166,6,agree,0,2,2
333,167,5,agree,1,1,1
334,167,5,agree,1,2,0
335,168,6,agree,0,2,0
336,168,8,agree,1,0,2
337,169,6,disagree,1,0,0
338,169,8,disagree,0,4,0
339,170,5,agree,3,1,0
340,170,7,agree,0,1,1
341,171,10,agree,1,0,1
342,171,8,agree,0,4,0
343,172,6,agree,2,0,2
344,172,4,agree,0,2,1
345,173,10,agree,1,3,0
346,173,8,agree,0,0,2
347,174,8,agree,4,0,0
348,174,10,agree,0,2,1
349,175,8,agree,0,3,1
350,175,10,agree,2,0,0
351,176,10,agree,0,0,2
352,176,8,agree,1,2,0
353,177,10,disagree,1,1,0
354,177,8,agree,1,0,0
355,178,7,agree,0,2,3
356,178,8,agree,0,4,0
357,179,10,agree,1,0,1
358,179,7,agree,1,1,0
359,180,7,agree,1,0,3
360,180,10,agree,0,2,0
361,181,8,agree,1,0,4
362,181,no,agreement,agreement,NA,NA
363,182,no,agreement,agreement,NA,NA
364,182,9,agree,1,0,4
365,183,7,agree,0,1,0
366,183,5,agree,0,1,3
367,184,8,agree,1,2,0
368,184,6,agree,0,2,0
369,185,6,agree,2,0,1
370,185,5,agree,1,0,0
371,186,4,agree,0,1,3
372,186,9,disagree,3,0,0
373,187,5,agree,2,0,1
374,187,5,agree,1,1,1
375,188,7,agree,1,3,0
376,188,10,agree,0,1,1
377,189,9,agree,0,3,0
378,189,10,agree,2,0,1
379,190,7,agree,0,1,3
380,190,10,agree,2,1,0
381,191,8,agree,0,2,1
382,191,8,agree,2,0,0
383,192,no,agreement,agreement,NA,NA
384,192,no,agreement,agreement,NA,NA
385,193,7,agree,1,1,0
386,193,6,agree,0,1,3
387,194,7,agree,2,1,0
388,194,5,agree,2,0,1
389,195,8,agree,2,0,0
390,195,10,agree,0,2,2
391,196,3,agree,3,0,0
392,196,10,agree,0,2,1
393,197,9,agree,0,1,4
394,197,8,agree,1,1,0
395,198,4,agree,0,1,1
396,198,7,agree,1,2,0
397,199,7,agree,1,2,0
398,199,6,agree,2,0,1
399,200,8,agree,1,0,1
400,200,8,agree,1,2,0
401,201,7,agree,2,0,1
402,201,9,agree,0,1,2
403,202,8,agree,1,2,0
404,202,8,agree,0,2,1
405,203,1,disagree,0,1,1
406,203,5,disagree,0,1,1
407,204,7,agree,0,2,1
408,204,5,agree,1,0,1
409,205,8,agree,0,3,1
410,205,5,agree,2,1,0
411,206,7,agree,1,3,0
412,206,9,agree,0,0,1
413,207,no,agreement,agreement,NA,NA
414,207,no,agreement,agreement,NA,NA
415,208,9,agree,1,0,0
416,208,6,agree,0,3,1
417,209,7,disagree,1,0,2
418,209,8,disagree,1,2,0
419,210,7,disagree,2,3,0
420,210,10,disagree,0,0,1
421,211,5,agree,1,0,0
422,211,7,agree,0,3,2
423,212,no,agreement,agreement,NA,NA
424,212,no,agreement,agreement,NA,NA
425,213,8,disagree,0,1,1
426,213,3,disagree,0,1,1
427,214,8,agree,0,2,0
428,214,10,agree,2,0,2
429,215,7,disagree,1,1,1
430,215,9,disagree,0,4,1
431,216,10,agree,2,0,0
432,216,8,agree,0,2,1
433,217,8,agree,0,0,2
434,217,6,agree,1,2,0
435,218,no,agreement,agreement,NA,NA
436,218,no,agreement,agreement,NA,NA
437,219,4,agree,0,1,1
438,219,8,agree,1,2,0
439,220,8,agree,1,2,0
440,220,6,agree,1,0,2
441,221,10,agree,0,2,1
442,221,6,agree,2,0,0
443,222,5,agree,0,1,0
444,222,6,agree,4,0,1
445,223,7,disagree,0,2,1
446,223,8,agree,2,0,0
447,224,8,agree,0,3,1
448,224,10,disagree,1,4,0
449,225,8,agree,0,3,1
450,225,10,agree,1,0,0
451,226,5,agree,0,3,2
452,226,10,agree,1,0,0
453,227,8,agree,0,4,0
454,227,10,agree,1,0,1
455,228,8,agree,0,4,0
456,228,6,agree,1,0,1
457,229,9,agree,0,1,1
458,229,8,agree,2,1,0
459,230,10,agree,2,0,1
460,230,8,agree,0,2,0
461,231,9,agree,0,3,1
462,231,10,agree,1,0,0
463,232,7,agree,1,0,1
464,232,9,agree,0,3,0
465,233,7,agree,2,0,1
466,233,8,agree,0,1,2
467,234,10,disagree,1,3,1
468,234,no,agreement,agreement,NA,NA
469,235,no,agreement,agreement,NA,NA
470,235,no,agreement,agreement,NA,NA
471,236,8,agree,0,4,0
472,236,10,agree,1,0,1
473,237,7,disagree,1,2,0
474,237,7,disagree,1,2,0
475,238,disconnect,agree,,NA,NA
476,238,disconnect,agree,,NA,NA
477,239,7,agree,1,3,0
478,239,9,agree,0,0,3
479,240,9,agree,3,1,0
480,240,9,agree,0,0,1
481,241,10,disagree,1,2,3
482,241,6,agree,2,2,0
483,242,8,agree,0,0,1
484,242,10,agree,1,0,1
485,243,6,agree,0,3,0
486,243,8,agree,3,1,0
487,244,10,agree,0,0,2
488,244,10,agree,1,0,1
489,245,7,agree,0,1,2
490,245,5,disagree,1,1,1
491,246,6,disagree,1,1,2
492,246,6,agree,0,1,0
493,247,8,agree,4,0,1
494,247,6,agree,0,2,2
495,248,6,agree,2,0,0
496,248,10,agree,0,1,2
497,249,9,agree,3,0,0
498,249,6,agree,1,2,0
499,250,8,agree,0,2,2
500,250,5,agree,4,1,0
501,251,7,agree,0,1,1
502,251,10,agree,0,0,2
503,252,6,agree,2,2,0
504,252,9,agree,2,0,1
505,253,8,agree,0,3,1
506,253,6,agree,0,2,4
507,254,6,agree,1,0,0
508,254,6,agree,3,0,0
509,255,10,agree,0,1,1
510,255,10,agree,1,0,2
511,256,8,agree,0,2,0
512,256,6,agree,2,0,0
513,257,10,agree,0,3,1
514,257,10,agree,2,0,1
515,258,8,agree,0,4,0
516,258,no,agreement,agreement,NA,NA
517,259,no,agreement,agreement,NA,NA
518,259,10,disagree,1,2,4
519,260,8,agree,1,0,3
520,260,10,agree,0,2,0
521,261,9,agree,0,3,0
522,261,10,agree,1,0,1
523,262,10,agree,1,1,0
524,262,6,agree,0,0,3
525,263,10,agree,3,0,2
526,263,7,agree,0,1,0
527,264,10,disagree,1,2,0
528,264,10,agree,1,0,2
529,265,8,agree,0,4,0
530,265,7,agree,0,1,1
531,266,6,agree,2,0,1
532,266,6,agree,0,2,1
533,267,8,agree,2,0,2
534,267,6,agree,1,1,0
535,268,8,agree,1,0,2
536,268,5,agree,2,0,1
537,269,5,agree,1,1,1
538,269,6,agree,0,1,2
539,270,8,agree,2,0,0
540,270,no,agreement,agreement,NA,NA
541,271,no,agreement,agreement,NA,NA
542,271,8,agree,1,0,3
543,272,8,agree,1,2,0
544,272,6,agree,3,0,0
545,273,10,agree,0,2,1
546,273,6,agree,1,0,2
547,274,8,agree,0,1,2
548,274,10,agree,0,1,0
549,275,7,agree,1,0,4
550,275,10,agree,0,0,1
551,276,5,agree,2,3,0
552,276,8,agree,1,0,2
553,277,6,agree,0,2,2
554,277,10,agree,0,1,3
555,278,8,agree,2,0,0
556,278,5,agree,0,1,1
557,279,8,agree,2,0,1
558,279,4,agree,0,1,0
559,280,10,agree,3,0,2
560,280,no,agreement,agreement,NA,NA
561,281,no,agreement,agreement,NA,NA
562,281,8,agree,2,0,1
563,282,7,agree,2,1,0
564,282,10,agree,1,0,0
565,283,7,agree,0,3,1
566,283,9,agree,0,2,1
567,284,7,agree,2,1,0
568,284,10,disagree,0,4,2
569,285,disconnect,agree,,NA,NA
570,285,disconnect,agree,,NA,NA
571,286,8,agree,4,0,0
572,286,10,agree,0,1,1
573,287,8,agree,2,0,2
574,287,6,agree,1,1,0
575,288,8,agree,2,2,0
576,288,8,agree,1,0,1
577,289,8,agree,1,0,0
578,289,6,agree,0,2,2
579,290,7,agree,0,0,1
580,290,10,agree,3,1,0
581,291,no,agreement,agreement,NA,NA
582,291,no,agreement,agreement,NA,NA
583,292,10,agree,0,1,2
584,292,6,agree,3,0,0
585,293,7,agree,0,3,1
586,293,9,agree,2,0,1
587,294,6,agree,3,0,1
588,294,8,agree,0,1,2
589,295,7,agree,0,1,2
590,295,7,agree,2,1,0
591,296,7,agree,3,0,2
592,296,8,agree,0,1,0
593,297,10,disagree,0,1,2
594,297,5,disagree,2,0,1
595,298,5,agree,1,0,2
596,298,5,agree,0,1,2
597,299,8,agree,3,0,2
598,299,10,agree,0,1,0
599,300,5,agree,0,2,1
600,300,5,agree,1,2,0
601,301,8,agree,1,0,3
602,301,6,agree,1,2,0
603,302,9,agree,0,3,0
604,302,10,agree,2,0,1
605,303,7,disagree,2,1,0
606,303,6,disagree,0,1,0
607,304,8,disagree,0,1,0
608,304,5,agree,1,1,0
609,305,6,agree,0,2,1
610,305,10,agree,0,1,0
611,306,9,agree,2,0,3
612,306,8,disagree,1,0,1
613,307,10,agree,2,0,1
614,307,9,agree,0,3,0
615,308,10,disagree,2,4,0
616,308,6,disagree,0,2,2
617,309,8,disagree,1,0,1
618,309,6,agree,2,0,2
619,310,6,agree,0,1,1
620,310,7,disagree,2,1,0
621,311,no,agreement,agreement,NA,NA
622,311,9,agree,3,0,0
623,312,10,agree,0,1,1
624,312,8,agree,2,1,1
625,313,5,agree,0,1,0
626,313,9,agree,3,0,0
627,314,7,agree,0,2,1
628,314,8,agree,3,2,0
629,315,10,agree,0,0,1
630,315,8,disagree,0,3,1
631,316,8,agree,3,0,1
632,316,6,agree,0,1,1
633,317,6,agree,0,2,0
634,317,6,agree,2,0,1
635,318,10,disagree,2,4,1
636,318,6,agree,1,1,1
637,319,5,agree,1,0,1
638,319,no,agreement,agreement,NA,NA
639,320,6,agree,1,0,1
640,320,6,agree,1,2,0
641,321,3,disagree,0,1,0
642,321,10,disagree,0,1,0
643,322,6,agree,0,3,0
644,322,7,agree,1,0,1
645,323,6,agree,1,0,2
646,323,8,agree,0,2,0
647,324,8,agree,2,0,3
648,324,10,agree,0,1,0
649,325,8,agree,1,1,0
650,325,7,agree,1,0,3
651,326,10,agree,1,0,1
652,326,6,agree,0,3,0
653,327,6,agree,0,1,1
654,327,7,agree,4,0,1
655,328,6,agree,1,3,0
656,328,7,agree,1,0,1
657,329,4,agree,1,0,3
658,329,6,agree,0,1,0
659,330,8,agree,4,0,1
660,330,10,agree,0,2,0
661,331,10,disagree,3,3,1
662,331,7,agree,0,2,1
663,332,9,agree,1,0,2
664,332,8,agree,0,1,1
665,333,7,agree,4,0,1
666,333,9,agree,0,1,1
667,334,8,agree,2,1,0
668,334,6,agree,0,2,2
669,335,10,agree,2,0,0
670,335,6,agree,3,0,0
671,336,7,agree,0,1,1
672,336,6,agree,0,1,2
673,337,9,agree,1,1,0
674,337,7,agree,2,1,0
675,338,9,agree,0,0,3
676,338,7,agree,0,1,1
677,339,5,agree,1,2,0
678,339,7,agree,4,0,1
679,340,9,agree,0,1,0
680,340,6,agree,2,0,1
681,341,8,agree,0,1,1
682,341,7,agree,0,1,0
683,342,5,agree,1,0,3
684,342,8,disagree,2,1,0
685,343,4,disagree,0,0,2
686,343,7,agree,2,0,1
687,344,9,agree,0,1,1
688,344,10,disagree,0,1,2
689,345,no,agreement,agreement,NA,NA
690,345,6,disagree,1,2,0
691,346,6,agree,0,1,4
692,346,7,agree,1,0,0
693,347,no,agreement,agreement,NA,NA
694,347,no,agreement,agreement,NA,NA
695,348,9,agree,1,3,0
696,348,8,agree,0,0,1
697,349,10,agree,1,0,1
698,349,8,agree,0,4,0
699,350,7,disagree,2,0,1
700,350,6,disagree,3,0,1
701,351,10,agree,0,1,0
702,351,5,agree,2,0,3
703,352,6,agree,2,2,0
704,352,8,agree,0,1,1
705,353,6,agree,0,1,2
706,353,5,agree,1,1,0
707,354,6,agree,0,3,0
708,354,10,agree,1,0,2
709,355,8,agree,0,1,0
710,355,9,agree,3,0,2
711,356,no,agreement,agreement,NA,NA
712,356,no,agreement,agreement,NA,NA
713,357,7,disagree,1,0,2
714,357,9,disagree,0,1,1
715,358,6,agree,2,1,0
716,358,7,agree,0,1,1
717,359,6,disagree,1,0,0
718,359,no,agreement,agreement,NA,NA
719,360,4,agree,0,0,4
720,360,10,agree,1,1,0
721,361,no,agreement,agreement,NA,NA
722,361,no,agreement,agreement,NA,NA
723,362,9,agree,0,3,1
724,362,9,agree,1,0,2
725,363,9,agree,0,0,3
726,363,7,agree,3,1,0
727,364,7,disagree,0,2,1
728,364,no,agreement,agreement,NA,NA
729,365,10,disagree,3,1,3
730,365,10,agree,0,0,2
731,366,6,agree,1,3,0
732,366,6,agree,0,3,0
733,367,10,agree,1,0,1
734,367,6,agree,2,2,0
735,368,8,agree,0,1,1
736,368,10,agree,0,0,2
737,369,6,agree,1,3,0
738,369,10,disagree,0,0,1
739,370,4,disagree,1,3,0
740,370,9,agree,1,3,0
741,371,8,agree,0,1,2
742,371,8,agree,1,3,0
743,372,7,agree,1,0,1
744,372,4,agree,0,2,3
745,373,5,agree,1,0,0
746,373,8,agree,0,1,3
747,374,10,agree,2,0,0
748,374,8,agree,0,0,2
749,375,10,agree,3,1,0
750,375,6,agree,1,3,0
751,376,8,agree,0,0,1
752,376,7,agree,0,1,0
753,377,8,agree,2,0,3
754,377,4,agree,4,0,0
755,378,10,agree,0,2,1
756,378,9,agree,2,1,0
757,379,8,agree,0,1,3
758,379,6,agree,1,0,2
759,380,6,agree,0,1,1
760,380,7,agree,1,2,0
761,381,6,agree,0,1,2
762,381,6,agree,0,1,0
763,382,5,agree,3,0,1
764,382,7,agree,2,1,0
765,383,7,agree,1,0,1
766,383,no,agreement,agreement,NA,NA
767,384,no,agreement,agreement,NA,NA
768,384,10,disagree,1,2,2
769,385,no,agreement,agreement,NA,NA
770,385,6,agree,1,0,1
771,386,8,agree,3,1,0
772,386,10,agree,0,1,0
773,387,7,agree,3,0,1
774,387,5,agree,0,1,1
775,388,7,agree,1,1,1
776,388,7,agree,0,0,1
777,389,8,agree,1,3,0
778,389,10,agree,2,1,0
779,390,9,agree,0,0,3
780,390,6,agree,0,1,1
781,391,7,agree,2,1,0
782,391,5,agree,1,0,1
783,392,6,agree,1,2,0
784,392,10,agree,0,1,0
785,393,8,agree,1,0,3
786,393,7,agree,2,1,0
787,394,6,agree,1,0,1
788,394,5,agree,0,2,1
789,395,6,agree,1,2,0
790,395,no,agreement,agreement,NA,NA
791,396,no,agreement,agreement,NA,NA
792,396,9,agree,0,1,2
793,397,8,agree,3,1,0
794,397,6,agree,1,2,1
795,398,5,agree,0,2,1
796,398,9,agree,1,0,2
797,399,7,agree,1,3,0
798,399,8,agree,2,0,2
799,400,6,agree,0,1,2
800,400,9,agree,1,1,0
801,401,7,agree,1,0,2
802,401,6,agree,0,3,0
803,402,10,agree,1,0,1
804,402,9,agree,2,1,0
805,403,6,agree,2,0,1
806,403,8,agree,2,2,0
807,404,6,agree,0,1,1
808,404,10,disagree,2,0,2
809,405,no,agreement,agreement,NA,NA
810,405,no,agreement,agreement,NA,NA
811,406,8,agree,0,1,2
812,406,6,agree,2,0,0
813,407,6,agree,1,0,2
814,407,8,agree,2,2,0
815,408,5,agree,1,1,1
816,408,5,agree,1,1,1
817,409,10,agree,0,0,2
818,409,8,agree,1,3,0
819,410,7,agree,1,1,0
820,410,9,agree,0,0,3
821,411,4,agree,1,0,2
822,411,8,agree,1,1,0
823,412,5,disagree,2,1,0
824,412,7,disagree,0,1,1
825,413,5,agree,1,0,2
826,413,9,agree,2,1,0
827,414,8,agree,0,1,0
828,414,8,agree,4,0,2
829,415,10,agree,2,0,2
830,415,8,agree,0,1,0
831,416,8,agree,0,3,2
832,416,10,agree,2,0,0
833,417,10,agree,1,0,0
834,417,9,agree,0,3,1
835,418,7,disagree,1,0,1
836,418,10,disagree,1,3,1
837,419,8,agree,2,0,1
838,419,8,agree,2,1,0
839,420,6,agree,0,1,3
840,420,7,agree,1,0,0
841,421,7,agree,0,1,1
842,421,8,agree,2,1,0
843,422,7,agree,1,0,0
844,422,5,agree,0,3,2
845,423,6,agree,3,0,0
846,423,10,agree,1,2,1
847,424,6,agree,2,0,2
848,424,10,agree,0,2,0
849,425,10,disagree,3,1,2
850,425,10,agree,4,0,2
851,426,8,agree,0,1,0
852,426,8,agree,2,1,0
853,427,5,agree,1,0,1
854,427,9,agree,0,1,0
855,428,9,agree,3,0,1
856,428,7,agree,0,1,2
857,429,7,agree,2,0,1
858,429,8,agree,3,0,1
859,430,8,agree,0,1,0
860,430,no,agreement,agreement,NA,NA
861,431,no,agreement,agreement,NA,NA
862,431,no,agreement,agreement,NA,NA
863,432,no,agreement,agreement,NA,NA
864,432,8,agree,0,0,2
865,433,8,agree,2,1,0
866,433,2,agree,0,2,0
867,434,10,agree,1,0,3
868,434,8,agree,1,1,0
869,435,8,agree,0,1,2
870,435,8,agree,0,0,2
871,436,6,agree,1,2,0
872,436,10,disagree,4,2,1
873,437,8,agree,0,1,2
874,437,9,agree,1,2,0
875,438,8,agree,0,1,2
876,438,6,agree,2,1,0
877,439,10,agree,1,0,0
878,439,9,agree,0,1,4
879,440,7,disagree,0,1,2
880,440,10,agree,2,0,0
881,441,6,agree,0,1,2
882,441,10,disagree,0,1,1
883,442,6,agree,1,1,0
884,442,5,agree,0,2,1
885,443,6,agree,0,1,0
886,443,8,agree,1,0,3
887,444,6,agree,0,1,1
888,444,6,agree,2,0,1
889,445,6,agree,1,0,3
890,445,8,agree,0,2,0
891,446,8,agree,2,3,0
892,446,10,agree,0,0,2
893,447,7,disagree,1,0,1
894,447,10,disagree,3,1,0
895,448,6,agree,0,3,0
896,448,7,agree,1,0,2
897,449,6,agree,0,1,1
